Program,File,Depth,Average Throughput Rate (MB/s)
./build/fuzzer,math.json,1,304.05281042976
./build/fuzzer,math.json,2,210.95029638714425
./build/fuzzer,math.json,4,212.2241700758297
./build/fuzzer,math.json,8,159.8655736128871
./build/fuzzer,math.json,16,138.59975546357634
./build/fuzzer,math.json,32,0
./build/fuzzer,math.json,64,0
./build/fuzzer,math.json,128,0
./build/fuzzer,math.json,256,0
./build/fuzzer,math.json,512,0
./build/fuzzer,math.json,1024,0
./build/fuzzer,math.json,2048,0
./build/fuzzer,recursive.json,1,365.9452858876607
./build/fuzzer,recursive.json,2,384.5232112845987
./build/fuzzer,recursive.json,4,251.97185576941538
./build/fuzzer,recursive.json,8,227.76574312827836
./build/fuzzer,recursive.json,16,211.65844487757772
./build/fuzzer,recursive.json,32,211.55983377811935
./build/fuzzer,recursive.json,64,211.58964896502184
./build/fuzzer,recursive.json,128,211.4282971568539
./build/fuzzer,recursive.json,256,211.57943409567088
./build/fuzzer,recursive.json,512,211.65189627146978
./build/fuzzer,recursive.json,1024,211.78007027136914
./build/fuzzer,recursive.json,2048,211.59653895033543
./build/fuzzer,simple_grammar.json,1,630.2519303935272
./build/fuzzer,simple_grammar.json,2,634.8652867965334
./build/fuzzer,simple_grammar.json,4,633.704115094741
./build/fuzzer,simple_grammar.json,8,633.6807268631727
./build/fuzzer,simple_grammar.json,16,614.9541488431839
./build/fuzzer,simple_grammar.json,32,615.0876556918489
./build/fuzzer,simple_grammar.json,64,624.7332106891829
./build/fuzzer,simple_grammar.json,128,631.5165888190173
./build/fuzzer,simple_grammar.json,256,632.4442270527562
./build/fuzzer,simple_grammar.json,512,632.793756575772
./build/fuzzer,simple_grammar.json,1024,633.7377911095575
./build/fuzzer,simple_grammar.json,2048,631.3528514594564
./build/fuzzer,css.json,1,962.5549425019277
./build/fuzzer,css.json,2,962.5258990354445
./build/fuzzer,css.json,4,676.7574531736065
./build/fuzzer,css.json,8,478.409342415398
./build/fuzzer,css.json,16,284.8557697574413
./build/fuzzer,css.json,32,170.75724224219465
./build/fuzzer,css.json,64,150.04270927444784
./build/fuzzer,css.json,128,149.89203798107252
./build/fuzzer,css.json,256,149.47868119873806
./build/fuzzer,css.json,512,149.71812378548898
./build/fuzzer,css.json,1024,149.40566157728713
./build/fuzzer,css.json,2048,149.9324138801264
./build/fuzzer,html.json,1,779.3226216585799
./build/fuzzer,html.json,2,767.0926652016537
./build/fuzzer,html.json,4,764.0732423969815
./build/fuzzer,html.json,8,731.3589770233073
./build/fuzzer,html.json,16,419.08436677426533
./build/fuzzer,html.json,32,237.19285885374435
./build/fuzzer,html.json,64,210.2942319454961
./build/fuzzer,html.json,128,205.26951831945445
./build/fuzzer,html.json,256,205.12764920514763
./build/fuzzer,html.json,512,205.1048485995455
./build/fuzzer,html.json,1024,204.85555071915203
./build/fuzzer,html.json,2048,204.66372221801655
./build/vmfuzzer,math.json,1,65.46677649286306
./build/vmfuzzer,math.json,2,71.76528218735064
./build/vmfuzzer,math.json,4,65.44191995945329
./build/vmfuzzer,math.json,8,50.36851062271067
./build/vmfuzzer,math.json,16,0
./build/vmfuzzer,math.json,32,0
./build/vmfuzzer,math.json,64,0
./build/vmfuzzer,math.json,128,0
./build/vmfuzzer,math.json,256,0
./build/vmfuzzer,math.json,512,0
./build/vmfuzzer,math.json,1024,0
./build/vmfuzzer,math.json,2048,0
./build/vmfuzzer,recursive.json,1,188.52545939730578
./build/vmfuzzer,recursive.json,2,122.73607783175714
./build/vmfuzzer,recursive.json,4,74.18589903264808
./build/vmfuzzer,recursive.json,8,70.16815875104938
./build/vmfuzzer,recursive.json,16,70.0240038041855
./build/vmfuzzer,recursive.json,32,69.92975045395542
./build/vmfuzzer,recursive.json,64,70.0319017189835
./build/vmfuzzer,recursive.json,128,69.90088708898257
./build/vmfuzzer,recursive.json,256,69.70100991455006
./build/vmfuzzer,recursive.json,512,70.19080118460413
./build/vmfuzzer,recursive.json,1024,70.24502430866943
./build/vmfuzzer,recursive.json,2048,70.83615062562043
./build/vmfuzzer,simple_grammar.json,1,68.3991095682397
./build/vmfuzzer,simple_grammar.json,2,58.73257559604467
./build/vmfuzzer,simple_grammar.json,4,63.354203129372415
./build/vmfuzzer,simple_grammar.json,8,64.40135652482515
./build/vmfuzzer,simple_grammar.json,16,64.3573732569132
./build/vmfuzzer,simple_grammar.json,32,65.79275254900163
./build/vmfuzzer,simple_grammar.json,64,65.80241056171221
./build/vmfuzzer,simple_grammar.json,128,59.47107266940682
./build/vmfuzzer,simple_grammar.json,256,59.7432345572374
./build/vmfuzzer,simple_grammar.json,512,65.83977047190828
./build/vmfuzzer,simple_grammar.json,1024,65.79244647073847
./build/vmfuzzer,simple_grammar.json,2048,61.123604726443965
./build/vmfuzzer,css.json,1,186.4252127157961
./build/vmfuzzer,css.json,2,90.36008424915575
./build/vmfuzzer,css.json,4,178.22866268449667
./build/vmfuzzer,css.json,8,77.18370170940166
./build/vmfuzzer,css.json,16,41.02803772893773
./build/vmfuzzer,css.json,32,0
./build/vmfuzzer,css.json,64,0
./build/vmfuzzer,css.json,128,0
./build/vmfuzzer,css.json,256,0
./build/vmfuzzer,css.json,512,0
./build/vmfuzzer,css.json,1024,0
./build/vmfuzzer,css.json,2048,0
./build/vmfuzzer,html.json,1,494.081111738072
./build/vmfuzzer,html.json,2,362.14400705532853
./build/vmfuzzer,html.json,4,234.3585494255979
./build/vmfuzzer,html.json,8,113.38710162755496
./build/vmfuzzer,html.json,16,58.80498827838828
./build/vmfuzzer,html.json,32,49.597458058608
./build/vmfuzzer,html.json,64,47.77015494505494
./build/vmfuzzer,html.json,128,47.377702747252755
./build/vmfuzzer,html.json,256,47.392292673992635
./build/vmfuzzer,html.json,512,47.59058388278392
./build/vmfuzzer,html.json,1024,47.58715146520149
./build/vmfuzzer,html.json,2048,48.187534065934116
